GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BancoDeProyectos,persistence.mybatisimpl,MyBatisIniciativaDAO,69,0,0,0,25,0,6,0,6,0
BancoDeProyectos,persistence.mybatisimpl,MyBatisUsuarioDAO,52,0,2,0,14,0,5,0,4,0
BancoDeProyectos,services.client,MyBatisExample,38,0,2,0,15,0,4,0,3,0
BancoDeProyectos,services.impl,ServiciosUsuarioImpl,54,0,0,0,17,0,4,0,4,0
BancoDeProyectos,entities,Iniciativa,83,0,0,0,34,0,17,0,17,0
BancoDeProyectos,entities,Usuario,101,0,0,0,25,0,14,0,14,0
BancoDeProyectos,managedbeans,UsuarioBean,168,0,8,0,58,0,24,0,20,0
BancoDeProyectos,managedbeans,Mensajes,15,0,0,0,5,0,3,0,3,0
BancoDeProyectos,managedbeans,BasePageBean,79,0,2,0,30,0,24,0,23,0
BancoDeProyectos,exceptions,PersistenceException,20,0,0,0,8,0,4,0,4,0
BancoDeProyectos,exceptions,ServiciosUsuarioException,9,0,0,0,4,0,2,0,2,0
BancoDeProyectos,guice,GuiceContextListener.new XMLMyBatisModule() {...},28,0,0,0,7,0,2,0,2,0
BancoDeProyectos,guice,GuiceContextListener,31,0,0,0,8,0,3,0,3,0
